zipcode,num_fires_2017_2019,avg_acres,min_acres,avg_distance_m,min_distance_m
92128,1,10.305231094360352,10.305231094360352,266759.5027748625,12659.666602676562
92154,4,22.879390716552734,12.298944473266602,308450.8798652054,9565.228783829642
92201,1,24.775325775146484,24.775325775146484,299436.28315083,15626.81915060896
92220,1,325.5135498046875,325.5135498046875,233862.56208511157,14445.525403006981
92223,4,1190.3460702896118,41.778079986572266,221714.22910194992,8255.500161292652
92234,1,108.66139221191406,108.66139221191406,265957.04607477074,9349.564969825755
92236,1,24.775325775146484,24.775325775146484,293895.1953505568,13869.964157445193
92253,1,24.775325775146484,24.775325775146484,286088.70194318093,15635.536557864494
92260,1,108.66139221191406,108.66139221191406,274007.09692132234,14617.215712928059
92262,2,6668.909797668457,108.66139221191406,257215.07794767496,10584.952534229114
92264,3,4520.034210205078,108.66139221191406,265072.3228674635,5385.526874576305
92270,1,108.66139221191406,108.66139221191406,270482.08012953453,10974.770493075514
92307,2,15.417273998260498,14.699578285217285,220294.49281498493,12084.750043648808
92308,1,16.13496971130371,16.13496971130371,213818.10821782504,12187.92703664715
92313,2,1970.817470550537,69.48308563232422,197992.83506580777,16160.468450201923
92325,5,49.91522369384766,32.7047004699707,201856.4146871785,6457.462030687755
92336,3,49.12944412231445,34.76906204223633,189488.9811323004,10963.890139617624
92346,5,804.11280765533445,11.455334663391113,207072.1626491829,2483.431937095519
92352,4,37.10304570198059,11.455334663391113,207306.315640976,11336.735446632021
92373,3,1468.5159953435261,11.455334663391113,209128.65838712186,3795.442303941662
92374,4,996.448744058609,11.455334663391113,207460.71023388277,6493.765492260488
92376,4,54.217854499816895,34.76906204223633,194107.11544058687,10861.23956664286
92377,4,54.217854499816895,34.76906204223633,193038.51119674064,9572.60658364661
92382,3,37.881040255228676,11.455334663391113,212133.0184461827,3528.6818331439154
92399,4,1515.7035827636719,325.5135498046875,219663.15315383716,4613.720464845442
92404,4,37.10304570198059,11.455334663391113,202748.73844853524,1879.1612475339755
92407,4,54.217854499816895,34.76906204223633,194708.01312360415,4658.793089512366
92410,3,38.56916077931722,11.455334663391113,199161.5084641628,8188.7256045032955
92503,2,11653.300003051758,281.6000061035156,190734.23624770244,16402.348155166896
92507,1,3872.15185546875,3872.15185546875,197447.49820400114,19693.0184278636
92530,5,4805.38769043684,0.595499455928802,202172.6008738507,2403.527621331796
92532,4,6006.585738182068,46.90481948852539,205174.52527675644,5570.354978167948
92543,3,432.1591148376465,13.910249710083008,228632.59105357615,9042.2776130507391
92544,4,3631.408886909485,13.910249710083008,237862.19316829197,10908.51055043877
92545,3,441.44839159647626,21.580156326293945,223201.37880178934,9452.007896209561
92553,2,2197.0463256835937,521.9407958984375,203300.40056955125,13612.994101895141
92555,3,1478.62357711792,41.778079986572266,212609.65685764185,3007.9762824193517
92557,2,2197.0463256835937,521.9407958984375,201801.90962145792,13730.93771473224
92562,3,7979.392609914144,46.90481948852539,209519.42969627806,4756.13453314428
92563,2,1063.6299743652344,866.27301025390625,221309.99178596222,11387.22126179783
92567,2,281.8594379425049,41.778079986572266,215488.83627673885,10240.986618263645
92571,2,305.0529594421387,88.16512298583984,207949.12145304985,14678.827501371868
92584,2,1063.6299743652344,866.27301025390625,215412.0653431543,11641.241725875348
92586,2,674.5760307312012,88.16512298583984,211867.079400822,12684.117853255171
92587,4,6006.585738182068,46.90481948852539,208569.9033723266,8642.137313049663
